id,name,genreisnongame,genreisindie,genreisaction,genreisadventure,genreiscasual,genreisstrategy,genreisrpg,genreissimulation,genreisearlyaccess,genreisfreetoplay,genreissports,genreisracing,genreismassivelymultiplayer
146,Sid Meier's Civilization III: Complete,false,false,false,false,false,true,false,false,false,false,false,false,false
147,Sid Meier's Pirates!,false,false,false,false,false,false,true,false,false,false,false,false,false
148,Shattered Union,false,false,false,false,false,true,false,false,false,false,false,false,false
149,CivCity: Rome,false,false,false,false,false,true,false,false,false,false,false,false,false
150,Sid Meier's Civilization IV: Warlords,false,false,false,false,false,true,false,false,false,false,false,false,false
151,Garry's Mod,false,true,false,false,false,false,false,true,false,false,false,false,false
152,Poker Superstars II,false,true,false,false,true,true,false,false,false,false,false,false,false
153,Race: The WTCC Game,false,false,false,false,false,false,false,false,false,false,false,true,false
154,Race Dedicated Server,false,false,false,false,false,false,false,false,false,false,false,true,false
155,RACE: Caterham Expansion,false,false,false,false,false,false,false,false,false,false,false,true,false
156,RoboBlitz,false,true,true,false,false,false,false,false,false,false,false,false,false
157,Silverfall,false,false,false,false,false,false,true,false,false,false,false,false,false
158,City Life 2008,false,false,false,false,false,true,false,true,false,false,false,false,false
159,Silverfall: Earth Awakening,false,false,false,false,false,false,true,false,false,false,false,false,false
160,S.T.A.L.K.E.R.: Shadow of Chernobyl,false,false,true,false,false,false,true,false,false,false,false,false,false
161,Full Spectrum Warrior,false,false,true,false,false,true,false,false,false,false,false,false,false
162,Full Spectrum Warrior: Ten Hammers,false,false,true,false,false,true,false,false,false,false,false,false,false
163,Titan Quest,false,false,true,false,false,false,true,false,false,false,false,false,false
164,Titan Quest: Immortal Throne,false,false,true,false,false,false,true,false,false,false,false,false,false
165,Company of Heroes,false,false,true,false,false,true,false,false,false,false,false,false,false
166,"Warhammer 40,000: Dawn of War - Game of the Year Edition",false,false,false,false,false,true,false,false,false,false,false,false,false
167,"Warhammer 40,000: Dawn of War – Dark Crusade",false,false,false,false,false,true,false,false,false,false,false,false,false
168,Medieval II: Total War,false,false,false,false,false,true,false,false,false,false,false,false,false
