"Genre","name"
"Simulation","Industry Giant 2"
"Simulation","Transport Giant"
"Simulation","Worlds Adrift Island Creator"
"Simulation","Pro Rugby Manager 2015"
"Simulation","The Last Federation"
"Simulation","Driving School Simulator"
"Simulation","Extreme Roads USA"
"Simulation","Formula Truck 2013"
"Simulation","Towtruck Simulator 2015"
"Simulation","Game Tycoon 1.5"
"Simulation","Agricultural Simulator 2012: Deluxe Edition"
"Simulation","Forestry 2017 - The Simulation"
"Simulation","Mining & Tunneling Simulator"
"Simulation","Aviator - Bush Pilot"
"Simulation","Stock Car Extreme"
"Simulation","Ski-World Simulator"
"Simulation","Snowcat Simulator"
"Simulation","Arctic Trucker Simulator"
"Simulation","Warehouse and Logistics Simulator"
"Simulation","Mechs & Mercs: Black Talons"
"Simulation","Ship Simulator: Maritime Search and Rescue"
"Simulation","Assault Squad 2: Men of War Origins"
"Simulation","Revolution Ace"
"Simulation","Tech Executive Tycoon"
"Simulation","Influent"
"Simulation","Post Master"
"Simulation","Victorian Admirals Anthology"
"Simulation","Dwelvers"
"Simulation","Farming World"
"Simulation","Panzer Tactics HD"
"Simulation","The Count of Monster Disco"
"Simulation","Mars Colony: Challenger"
"Simulation","0RBITALIS"
"Simulation","A-Train 9 V4.0 : Japan Rail Simulator"
"Simulation","Making History: The Great War"
"Simulation","Gardens Inc. – From Rakes to Riches"
"Simulation","Rage Runner"
"Simulation","Bridge Constructor Playground"
"Simulation","Creeper World 3: Arc Eternal"
"Simulation","Interstellaria"
"Simulation","GhostControl Inc."
"Simulation","Imagine Earth"
"Simulation","Creativerse"
"Simulation","Wings Over Europe"
"Simulation","Stellaris"
"Simulation","MX vs. ATV Supercross Encore"
"Simulation","This War of Mine"
"Simulation","SuperPower 2 Steam Edition"
"Simulation","RollerCoaster Tycoon World"
"Simulation","The Battle of Sol"
"Simulation","Masterspace"
"Simulation","House of the Dying Sun"
"Simulation","Munich Bus Simulator"
"Simulation","New York Bus Simulator"
"Simulation","World of Subways 2 – Berlin Line 7"
"Simulation","World of Subways 3 – London Underground Circle Line"
"Simulation","Unclaimed World"
"Simulation","BeamNG.drive"
"Simulation","Farm Machines Championships 2014"
"Simulation","Pixel Puzzles: Japan"
"Simulation","Pixel Puzzles: UndeadZ"
"Simulation","Showtime!"
"Simulation","GearCity"
"Simulation","Battleplan: American Civil War"
"Simulation","RollerCoaster Tycoon: Deluxe"
"Simulation","RollerCoaster Tycoon 2: Triple Thrill Pack"
"Simulation","Galactic Command Echo Squad SE"
"Simulation","Kitty Powers' Matchmaker"
"Simulation","Tabletop Simulator"
"Simulation","Steel Armor: Blaze of War"
"Simulation","Gunship!"
"Simulation","Zoo Empire"
"Simulation","Falcon A.T."
"Simulation","Selfie: Sisters of the Amniotic Lens"
"Simulation","Wildlife Park 3"
"Simulation","Autocraft"
"Simulation","Rise of Nations: Extended Edition"
"Simulation","Pandora: First Contact"
"Simulation","Sunset"
"Simulation","Pro Pinball Ultra"
"Simulation","Mini Metro"
"Simulation","Jack Nicklaus Perfect Golf"
"Simulation","Backstage Pass"
"Simulation","Demolition Master 3D"
"Simulation","Ampu-Tea"
"Simulation","A.I.M.2 Clan Wars"
"Simulation","Faces of War"
"Simulation","Parkan 2"
"Simulation","The Tomorrow War"
"Simulation","7,62 High Calibre"
"Simulation","Ropeway Simulator 2014"
"Simulation","TransOcean: The Shipping Company"
"Simulation","Construction-Simulator 2015"
"Simulation","LogicBots"
"Simulation","Life is Feudal: Your Own"
"Simulation","Rebel Galaxy"
"Simulation","1849"
"Simulation","Flower Shop: Summer In Fairbrook"
"Simulation","The Hat Man: Shadow Ward"
"Simulation","Always Remember Me"
"Simulation","I Get This Call Every Day"
"Simulation","Evolution RTS"
"Simulation","Jumpdrive"
"Simulation","Smugglers 5"
"Simulation","Firefighters 2014"
"Simulation","Industry Empire"
"Simulation","X-Plane 10 Global - 64 Bit"
"Simulation","Starship Corporation"
"Simulation","Panzer Elite Action Fields of Glory"
"Simulation","The Good Life"
"Simulation","Epic Space: Online"
"Simulation","Amazing World"
"Simulation","Carnivores: Dinosaur Hunter Reborn"
"Simulation","Automation - The Car Company Tycoon Game"
"Simulation","Classroom Aquatic"
