"Genre","name"
"Free to Play","Viridi"
"Free to Play","SAGA"
"Free to Play","WildStar"
"Free to Play","Tactical Genius"
"Free to Play","Close Your Eyes"
"Free to Play","The Knobbly Crook: Chapter I - The Horse You Sailed In On"
"Free to Play","Nomad"
"Free to Play","Alteil: Horizons"
"Free to Play","The Secret of Tremendous Corporation"
"Free to Play","Tap Tap Infinity"
"Free to Play","Fishing Planet"
"Free to Play","Wind of Luck: Arena"
"Free to Play","Teeworlds"
"Free to Play","Epic Cards Battle(TCG)"
"Free to Play","Allods Online RU"
"Free to Play","Tom Clancy's EndWar Online"
"Free to Play","Dragon Saga"
"Free to Play","Relic Hunters Zero"
"Free to Play","Piercing Blow"
"Free to Play","Sakura Clicker"
"Free to Play","Florensia"
"Free to Play","Prominence Poker"
"Free to Play","Battle for Blood - Epic battles within 30 seconds!"
"Free to Play","Lamia Must Die"
"Free to Play","Radiator 2"
"Free to Play","Astro Lords"
"Free to Play","Time Clickers"
"Free to Play","Gladiators Online: Death Before Dishonor"
"Free to Play","Golden Rush"
"Free to Play","SMITE"
"Free to Play","Affected Zone Tactics"
"Free to Play","Shadow of Kingdoms"
"Free to Play","Build a Game Universe"
"Free to Play","the static speaks my name"
"Free to Play","Clown House (Palyaço Evi)"
"Free to Play","Nova Blitz"
"Free to Play","One Way To Die: Steam Edition"
"Free to Play","Knight Online"
"Free to Play","Garlock Online"
"Free to Play","Mitos.is: The Game"
"Free to Play","Steel Ocean"
"Free to Play","Fingerbones"
"Free to Play","WARMODE"
"Free to Play","Uebergame"
"Free to Play","BattleSouls"
"Free to Play","Silver Creek Falls - Chapter 1"
"Free to Play","Lost Lands: A Hidden Object Adventure"
"Free to Play","World of Soccer online"
"Free to Play","Insanity Clicker"
"Free to Play","RoShamBo Arena"
"Free to Play","Atom Universe"
"Free to Play","BattleStick"
"Free to Play","Battleline: Steel Warfare"
"Free to Play","Missing Translation"
"Free to Play","InCell VR"
"Free to Play","The Spookening"
"Free to Play","Sphere III: Enchanted World"
"Free to Play","MachineCraft"
"Free to Play","Business Tour"
"Free to Play","Absent"
"Free to Play","War of Beach"
"Free to Play","Comedy Quest"
"Free to Play","Battle Battalions"
"Free to Play","Cloney"
"Free to Play","Atlas Reactor"
"Free to Play","Crusaders of the Lost Idols"
"Free to Play","Nyctophilia"
"Free to Play","Codename: Rogue Fleet"
"Free to Play","Endless Sky"
"Free to Play","SC2VN - The eSports Visual Novel"
"Free to Play","Relive"
"Free to Play","Sentou Gakuen: Revival"
"Free to Play","Legend of Dungeon: Masters"
"Free to Play","AltspaceVR"
"Free to Play","Soccer Manager 2016"
"Free to Play","Pro Evolution Soccer 2016 myClub"
"Free to Play","Devilian"
"Free to Play","Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist"
"Free to Play","Genesis Online"
"Free to Play","Pink Hour"
"Free to Play","Pink Heaven"
"Free to Play","HEX: Shards of Fate"
"Free to Play","Electric Highways"
"Free to Play","GASP"
"Free to Play","Metal War Online: Retribution"
"Free to Play","Back to Dinosaur Island"
"Free to Play","Metal Assault"
"Free to Play","Goultard"
"Free to Play","Epic Clicker Journey"
"Free to Play","Star Crusade CCG"
"Free to Play","Tactical Craft Online"
"Free to Play","Emporea"
"Free to Play","Gunslingers"
"Free to Play","Emily is Away"
"Free to Play","Apotheon Arena"
"Free to Play","Street Warriors Online"
"Free to Play","MoW: Face Off XL"
"Free to Play","StarBreak"
"Free to Play","I must kill...: Fresh Meat"
"Free to Play","CUPID - A free to play Visual Novel"
"Free to Play","World of Fishing"
"Free to Play","Metaverse Construction Kit"
"Free to Play","Carpe Diem"
"Free to Play","Gods and Idols"
"Free to Play","Iron Snout"
"Free to Play","Imperia Online"
"Free to Play","Full Tilt Poker"
"Free to Play","Age of Magic CCG"
"Free to Play","Orcs Must Die! Unchained"
"Free to Play","Red Haze"
"Free to Play","Take the Dream IX"
"Free to Play","Sepia Tears"
"Free to Play","Spellweaver"
"Free to Play","AdventureQuest 3D"
"Free to Play","Clash of the Monsters"
"Free to Play","Frosty Kiss"
"Free to Play","KABOUNCE"
"Free to Play","Elemental Heroes"
"Free to Play","BlackShot: Mercenary Warfare FPS"
"Free to Play","Premium Pool"
"Free to Play","To Burn in Memory"
"Free to Play","Mathoria: It All Adds Up"
"Free to Play","Lost Lands: Mahjong"
"Free to Play","Galaxy Control: 3D Strategy"
"Free to Play","Medusa's Labyrinth"
"Free to Play","Governor of Poker 3"
"Free to Play","The Panic Room"
"Free to Play","SOLRAVEN"
"Free to Play","Party Jousting"
"Free to Play","Shakes and Fidget"
"Free to Play","Soccer Manager"
"Free to Play","Heroes of Shadow Guard"
"Free to Play","Lucid9"
"Free to Play","Tap Tap Legions - Epic battles within 5 seconds!"
"Free to Play","Riders of Icarus"
"Free to Play","PWI"
"Free to Play","Iron Madness"
"Free to Play","Fantasy Tales Online"
"Free to Play","UFO Online: Invasion"
"Free to Play","Antenna"
"Free to Play","Paladins"
"Free to Play","World of Tanks Blitz"
"Free to Play","SpellKnights"
"Free to Play","Bloons TD Battles"
"Free to Play","Zaccaria Pinball"
"Free to Play","The Average Everyday Adventures of Samantha Browne"
"Free to Play","Lost girl`s [diary]"
"Free to Play","Battle Islands: Commanders"
"Free to Play","IKEA VR Experience"
"Free to Play","Regeria Hope Episode 1"
"Free to Play","Bitardia Cards: Memes of 2ch"
"Free to Play","Maneki's Curse"
"Free to Play","Origin Of Destiny"
"Free to Play","About Elise"
"Free to Play","The Divergent Series: Allegiant VR"
"Free to Play","Steno Arcade"
"Free to Play","The Bottom of the Well"
"Free to Play","Jesus Christ RPG Trilogy"
"Free to Play","Rock Paper Scissors Champion"
"Free to Play","Istrolid"
"Free to Play","Atulos Online"
"Free to Play","Jacob"
"Free to Play","The Lab"
"Free to Play","Khan: Absolute Power"
"Free to Play","Wartune"
"Free to Play","Spellstone"
"Free to Play","The Cubicle."
