id,name,platformwindows,platformlinux,platformmac
1595,Insanely Twisted Shadow Planet,true,true,true
1596,Jagged Alliance: Crossfire,true,false,false
1597,Luxor Evolved,true,false,false
1598,Yesterday,true,false,false
1599,Auditorium,true,false,true
1600,Chronicle: RuneScape Legends,true,false,false
1601,Tiny and Big: Grandpa's Leftovers,true,true,true
1602,Jet Set Radio,true,false,false
1603,Warlock 2: the Exiled,true,true,true
1604,Avernum 4,true,false,false
1605,Avernum 5,true,false,false
1606,Avernum 6,true,false,false
1607,Gunpoint,true,true,true
1608,Gotham City Impostors: Free To Play,true,false,false
1609,Clan of Champions,true,false,false
1610,ClaDun x2,true,false,false
1611,Tales from Space: Mutant Blobs Attack,true,true,true
1612,Crazy Machines Elements,true,false,false
1613,Saints Row IV,true,true,false
1614,To the Moon,true,true,true
1615,Dungeons & Dragons Online®,true,false,true
1616,AirMech,true,false,false
1617,3SwitcheD,true,false,true
1618,iBomber Defense Pacific,true,true,true
1619,Painkiller: Recurring Evil,true,false,false
1620,Alien Spidy,true,false,true
1621,Bang Bang Racing,true,false,false
1622,Sine Mora,true,false,false
1623,Indie Game: The Movie,true,false,true
1624,SpeedRunners,true,true,true
1625,Stellar Impact,true,false,false
1626,Legend of Grimrock,true,true,true
1627,Fireburst,true,false,false
1628,Tony Hawk's Pro Skater HD,true,false,false
1629,Archeblade,true,false,false
1630,Cubemen,true,true,true
1631,Ys: The Oath in Felghana,true,false,false
1632,Ys Origin,true,false,false
1633,eXceed - Gun Bullet Children,true,false,false
1634,eXceed 2nd - Vampire REX,true,false,false
1635,eXceed 3rd - Jade Penetrate Black Package,true,false,false
1636,Wizorb,true,true,true
1637,"Hack, Slash, Loot",true,false,true
1638,Rayman Origins,true,false,true
1639,Noitu Love 2 Devolution,true,false,false
1640,English Country Tune,true,true,true
1641,The Walking Dead,true,false,true
1642,A Virus Named TOM,true,true,true
1643,AVSEQ,true,false,true
1644,Botanicula,true,false,true
1645,Bumbledore,true,false,true
1646,Arena Wars 2,true,false,false
1647,Symphony,true,true,true
1648,Jane's Advanced Strike Fighters,true,false,false
1649,Sacred Citadel,true,false,false
1650,Moon Breakers,true,false,false
1651,Loadout,true,false,false
1652,Myst V,true,false,false
1653,Endless Space,true,false,true
1654,DOOM 3: BFG Edition,true,false,false
1655,Avernum: Escape From the Pit,true,false,true
1656,Tryst,true,false,false
1657,Assassin's Creed® III,true,false,false
1658,F1 2012,true,false,false
1659,Omerta - City of Gangsters,true,false,true
1660,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,true,true,true
1661,Lunar Flight,true,false,true
1662,Midnight Mysteries: Salem Witch Trials,true,false,false
1663,Midnight Mysteries 3: Devil on the Mississippi,true,false,false
1664,Midnight Mysteries 4: Haunted Houdini,true,false,false
1665,Batman™: Arkham Knight,true,false,false
1666,Blades of Time,true,false,true
1667,Colour Bind,true,false,false
1668,Game of Thrones,true,false,false
1669,Apotheon,true,true,true
1670,Mad Riders,true,false,false
1671,Batman™: Arkham Origins,true,false,false
1672,Drunken Robot Pornography,true,true,false
1673,Guns of Icarus Online,true,true,true
1674,Resident Evil™: Operation Raccoon City,true,false,false
1675,Street Fighter X Tekken,true,false,false
1676,Call of Duty: Ghosts,true,false,false
1677,Call of Duty: Ghosts - Multiplayer,true,false,false
1678,Stealth Bastard Deluxe,true,true,true
1679,Sherlock Holmes and The Hound of The Baskervilles,true,false,false
1680,Hero Academy,true,true,true
1681,A Valley Without Wind,true,true,true
1682,AZMD! Scorepocalypse,true,false,false
1683,Analogue: A Hate Story,true,true,true
1684,Dungeonbowl Knockout Edition,true,false,false
1685,Mini Motor Racing EVO,true,false,false
1686,Strike Suit Zero,true,true,true
1687,Roller Coaster Rampage,true,false,false
1688,Magrunner: Dark Pulse,true,false,false
1689,Call of Duty: Advanced Warfare,true,false,false
1690,Call of Duty: Advanced Warfare - Multiplayer,true,false,false
1691,Cortex Command,true,false,true
1692,Fieldrunners,true,false,true
1693,War of the Immortals,true,false,false
1694,RAW - Realms of Ancient War,true,false,false
1695,Cannon Fodder 3,true,false,false
1696,Splice,true,true,true
1697,Lone Survivor: The Director's Cut,true,false,true
1698,Highborn,true,false,true
1699,Blacklight: Retribution,true,false,false
1700,Triple Town,true,false,true
1701,Spirits,true,true,true
1702,Nancy Drew: Tomb of the Lost Queen,true,false,true
1703,Fray,true,false,false
1704,Angry Birds Space,true,false,false
1705,Sanctum 2,true,true,true
1706,Cloudberry Kingdom,true,false,false
1707,Rune Classic,true,false,false
1708,The Witness,true,false,false
1709,Pro Cycling Manager 2012,true,false,false
1710,Alien Shooter 2 Conscription,true,false,false
1711,Check vs. Mate,true,false,true
1712,Viking: Battle for Asgard,true,false,false
1713,Unmechanical,true,true,true
1714,Beyond Oasis,true,false,false
1715,Dynamite Headdy,true,false,false
1716,Golden Axe 3,true,false,false
1717,Phantasy Star 2,true,false,false
1718,Phantasy Star 3,true,false,false
1719,Phantasy Star 4,true,false,false
1720,Streets of Rage 3,true,false,false
1721,The Revenge of Shinobi,true,false,false
1722,Vectorman 2,true,false,false
1723,Wonder Boy in Monster World,true,false,false
1724,They Bleed Pixels,true,true,true
1725,Primal Fears,true,false,false
1726,Magical Diary,true,true,true
1727,Offspring Fling!,true,false,true
1728,Deadlight,true,false,false
1729,Dark Souls: Prepare to Die Edition,true,false,false
1730,Adventures of Shuggy,true,true,true
1731,RaceRoom Racing Experience,true,false,false
1732,Wanderlust: Rebirth,true,false,false
1733,Thief Gold,true,false,false
1734,Thief 2,true,false,false
1735,Conflict Desert Storm,true,false,false
1736,Dead Hungry Diner,true,false,false
1737,Starbound,true,true,true
1738,Conquest of Elysium 3,true,true,true
1739,Test Drive®: Ferrari Racing Legends,true,false,false
1740,Galaxy on Fire 2™ Full HD,true,false,false
1741,Kung Fu Strike: The Warrior's Rise,true,false,false
1742,Resonance,true,false,false
1743,Star Conflict,true,true,true
1744,Sugar Cube: Bittersweet Factory,true,false,false
1745,Vindictus,true,false,false
1746,Mabinogi,true,false,false
1747,Atlantica Online,true,false,false
1748,C9,true,false,false
1749,Inversion™,true,false,false
1750,Sonic & All-Stars Racing Transformed,true,false,false
1751,The Lord of the Rings Online™,true,false,true
1752,The Amazing Spider-Man,true,false,false
1753,Tom Clancy's Ghost Recon Future Soldier,true,false,false
