id,name,controllersupport,isfree,categorysingleplayer,categorymultiplayer,categorycoop,categorymmo,categoryinapppurchase,categoryincludesrcsdk,categoryincludeleveleditor,categoryvrsupport
1225,Monday Night Combat,false,false,true,true,true,false,false,false,false,false
1226,Monday Night Combat,false,false,true,true,true,false,false,false,false,false
1227,Sniper Elite V2,false,false,true,true,true,false,false,false,false,false
1228,Swords and Soldiers HD,false,false,true,true,false,false,false,false,false,false
1229,realMyst,false,false,true,false,false,false,false,false,false,false
1230,Riven,false,false,true,false,false,false,false,false,false,false
1231,Cosmic Osmo,false,true,true,false,false,false,false,false,false,false
1232,Manhole,false,true,true,false,false,false,false,false,false,false
1233,Spelunx,false,true,true,false,false,false,false,false,false,false
1234,Uru: Complete Chronicles,false,false,true,false,false,false,false,false,false,false
1235,Myst: Masterpiece Edition,false,false,true,false,false,false,false,false,false,false
1236,BIT.TRIP BEAT,false,false,true,false,false,false,false,false,false,false
1237,BIT.TRIP RUNNER,true,false,true,false,false,false,false,false,false,false
1238,Delve Deeper,false,false,true,true,false,false,false,false,false,false
1239,Fantasy Wars,false,false,true,true,false,false,false,false,true,false
1240,King's Bounty: Crossworlds,false,false,true,false,false,false,false,false,true,false
1241,Men of War: Vietnam,false,false,true,true,true,false,false,false,true,false
1242,IL-2 Sturmovik: Cliffs of Dover,false,false,true,true,false,false,false,false,false,false
1243,Theatre of War 3: Korea,false,false,true,true,false,false,false,false,true,false
1244,Men of War: Assault Squad,false,false,true,true,true,false,false,false,true,false
1245,Ride 'em Low,false,false,true,false,false,false,false,false,false,false
1246,Kaptain Brawe,false,false,true,false,false,false,false,false,false,false
1247,Dive to the Titanic,false,false,false,false,false,false,false,false,false,false
1248,Demolition Company Gold,false,false,true,false,false,false,false,false,false,false
1249,Dustforce,false,false,true,false,false,false,false,false,false,false
1250,Archon:Classic,false,false,true,true,false,false,false,false,false,false
1251,Aura: Fate of the Ages,false,false,true,false,false,false,false,false,false,false
1252,SpellForce 2 - Faith in Destiny,false,false,true,true,true,false,false,false,false,false
1253,Gothic,false,true,true,false,false,false,false,false,false,false
1254,Painkiller: Redemption,false,false,true,false,false,false,false,false,false,false
1255,Gothic 3 Forsaken Gods Enhanced Edition,false,false,true,false,false,false,false,false,false,false
1256,ArcaniA: Fall of Setarrif,false,false,true,false,false,false,false,false,false,false
1257,Pat & Mat,false,false,true,false,false,false,false,false,false,false
1258,Take On Helicopters,false,false,true,true,true,false,false,false,true,false
1259,Carrier Command: Gaea Mission,false,false,true,false,false,false,false,false,false,false
1260,Arma: Gold Edition,false,false,true,true,false,false,false,false,false,false
1261,Arma: Cold War Assault,false,false,true,false,false,false,false,false,false,false
1262,Dungeon Defenders,true,false,true,true,true,false,false,false,false,false
1263,The Bureau: XCOM Declassified,true,false,true,false,false,false,false,false,false,false
1264,Sid Meier's Civilization: Beyond Earth,false,false,true,true,false,false,false,false,false,false
1265,The Polynomial,false,false,true,false,false,false,false,false,false,false
1266,The Darkness II,false,false,true,false,true,false,false,false,false,false
1267,Dino D-Day,false,false,false,true,false,false,false,false,false,false
1268,Hacker Evolution,false,false,true,false,false,false,false,false,false,false
1269,Hacker Evolution - Untold,false,false,true,false,false,false,false,false,false,false
1270,Hacker Evolution Duality,false,false,true,false,false,false,false,false,false,false
1271,Governor of Poker 2,false,false,true,false,false,false,false,false,false,false
1272,Governor of Poker 2: Premium Edition,false,false,true,false,false,false,false,false,false,false
1273,VVVVVV,true,false,true,false,false,false,false,false,false,false
1274,Recettear: An Item Shop's Tale,false,false,true,false,false,false,false,false,false,false
1275,Chantelise,false,false,true,false,false,false,false,false,false,false
1276,Diamond Dan,false,false,true,false,false,false,false,false,false,false
1277,Worms Ultimate Mayhem,false,false,true,true,false,false,false,false,false,false
1278,Worms Crazy Golf,false,false,true,false,false,false,false,false,false,false
1279,Worms,false,false,true,false,false,false,false,false,false,false
1280,Worms Blast,false,false,true,false,false,false,false,false,false,false
1281,Worms Pinball,false,false,true,false,false,false,false,false,false,false
1282,Star Ruler,false,false,true,true,false,false,false,false,false,false
1283,Evochron Mercenary,false,false,true,true,true,false,false,false,false,false
1284,ESWAT,false,false,true,false,false,false,false,false,false,false
1285,Flicky,false,false,true,false,false,false,false,false,false,false
1286,Golden Axe II,false,false,true,true,false,false,false,false,false,false
1287,Sonic the Hedgehog,false,false,true,false,false,false,false,false,false,false
1288,Sword of Vermillion,false,false,true,false,false,false,false,false,false,false
1289,Virtua Fighter 2,false,false,true,true,false,false,false,false,false,false
1290,Alien Soldier,false,false,true,false,false,false,false,false,false,false
1291,Gunstar Heroes,false,false,true,true,false,false,false,false,false,false
1292,Landstalker,false,false,true,false,false,false,false,false,false,false
1293,Light Crusader,false,false,true,false,false,false,false,false,false,false
1294,Shining Force,false,false,true,false,false,false,false,false,false,false
1295,Shining Force 2,false,false,true,false,false,false,false,false,false,false
1296,Shining in the Darkness,false,false,true,false,false,false,false,false,false,false
1297,Sonic 3 and Knuckles,false,false,true,true,false,false,false,false,false,false
1298,Sonic the Hedgehog 2,false,false,true,true,false,false,false,false,false,false
1299,Streets of Rage,false,false,true,true,false,false,false,false,false,false
1300,Streets of Rage 2,false,false,true,true,false,false,false,false,false,false
1301,Toejam and Earl,false,false,true,true,false,false,false,false,false,false
1302,Toejam and Earl in Panic on Funkotron,false,false,true,true,false,false,false,false,false,false
1303,Wonder Boy III - Monster Lair,false,false,true,true,false,false,false,false,false,false
1304,Crazy Taxi,false,false,true,false,false,false,false,false,false,false
1305,SEGA Bass Fishing,false,false,true,false,false,false,false,false,false,false
1306,Sonic Adventure DX,false,false,true,false,false,false,false,false,false,false
1307,Space Channel 5: Part 2,false,false,true,true,true,false,false,false,false,false
1308,Sonic Generations,true,false,true,false,false,false,false,false,false,false
1309,Closure,true,false,true,false,false,false,false,false,false,false
1310,Universe Sandbox,false,false,true,false,false,false,false,false,false,false
1311,Clones,false,false,true,true,true,false,false,false,true,false
1312,Arcadia,false,false,true,false,false,false,false,false,false,false
1313,The Elder Scrolls V: Skyrim,false,false,true,false,false,false,false,false,false,false
1314,Winter Voices,false,false,true,false,false,false,false,false,false,false
1315,Cities in Motion,false,false,true,false,false,false,false,false,false,false
1316,Majesty 2 Collection,false,false,true,true,false,false,false,false,false,false
1317,Defenders of Ardania,false,false,true,true,false,false,false,false,false,false
1318,Darkest Hour: A Hearts of Iron Game,false,false,true,true,false,false,false,false,false,false
1319,Pride of Nations,false,false,true,true,false,false,false,false,false,false
1320,Sengoku,false,false,true,true,false,false,false,false,false,false
1321,Supreme Ruler Cold War,false,false,true,true,false,false,false,false,false,false
1322,Bejeweled 3,false,false,true,false,false,false,false,false,false,false
1323,APOX,false,false,true,true,true,false,false,false,false,false
1324,Fate of the World,false,false,true,false,false,false,false,false,false,false
1325,Puzzle Bots,false,false,true,false,false,false,false,false,false,false
1326,Gemini Rue,false,false,true,false,false,false,false,false,false,false
1327,The Blackwell Legacy,false,false,true,false,false,false,false,false,false,false
1328,Blackwell Unbound,false,false,true,false,false,false,false,false,false,false
1329,Blackwell Convergence,false,false,true,false,false,false,false,false,false,false
1330,Blackwell Deception,false,false,true,false,false,false,false,false,false,false
1331,Farming Simulator 2011,false,false,true,true,true,false,false,false,false,false
1332,Blue Toad Murder Files - The Mysteries of Little Riddle,false,false,true,true,false,false,false,false,false,false
1333,Guardians of Graxia,false,false,true,false,false,false,false,false,false,false
1334,SkyDrift,false,false,true,true,false,false,false,false,false,false
1335,Anomaly Warzone Earth,true,false,true,false,false,false,false,false,false,false
1336,Iron Front : Liberation 1944,false,false,true,true,false,false,false,false,false,false
1337,Sanctum,false,false,true,true,true,false,false,false,false,false
1338,E.Y.E: Divine Cybermancy,false,false,true,true,true,false,false,false,false,false
1339,Cloning Clyde,false,false,true,false,false,false,false,false,false,false
1340,Ancients of Ooga,false,false,true,false,false,false,false,false,false,false
1341,Post Apocalyptic Mayhem,true,false,true,true,false,false,false,false,false,false
1342,Hydrophobia: Prophecy,false,false,true,false,false,false,false,false,false,false
1343,DETOUR,false,false,true,true,true,false,false,false,false,false
1344,Gundemonium Recollection,false,false,true,false,false,false,false,false,false,false
1345,Hitogata Happa,false,false,true,false,false,false,false,false,false,false
1346,GundeadliGne,false,false,true,true,true,false,false,false,false,false
1347,A.R.E.S.,false,false,true,false,false,false,false,false,false,false
1348,B.U.T.T.O.N.,false,false,false,true,false,false,false,false,false,false
1349,Xotic,false,false,true,false,false,false,false,false,false,false
1350,Shadow Harvest: Phantom Ops,false,false,true,false,false,false,false,false,false,false
1351,SpaceChem,false,false,true,false,false,false,false,false,false,false
1352,Agricultural Simulator 2011: Extended Edition,false,false,true,true,false,false,false,false,false,false
1353,Revenge of the Titans,false,false,true,false,false,false,false,false,false,false
1354,Dinner Date,false,false,true,false,false,false,false,false,false,false
1355,Jamestown,true,false,true,true,true,false,false,false,false,false
1356,The Dream Machine,false,false,true,false,false,false,false,false,false,false
1357,Nidhogg,true,false,true,true,false,false,false,false,false,false
1358,Back to the Future: Ep 2 - Get Tannen!,false,false,false,false,false,false,false,false,false,false
1359,Back to the Future: Ep 3 - Citizen Brown,false,false,false,false,false,false,false,false,false,false
1360,Back to the Future: Ep 4 - Double Visions,false,false,false,false,false,false,false,false,false,false
1361,Back to the Future: Ep 5 - OUTATIME,false,false,false,false,false,false,false,false,false,false
1362,Puzzle Agent 2,false,false,true,false,false,false,false,false,false,false
1363,Hector: Ep 1,false,false,false,false,false,false,false,false,false,false
1364,Hector: Ep 2,false,false,true,false,false,false,false,false,false,false
1365,Hector: Ep 3,false,false,true,false,false,false,false,false,false,false
1366,Super Splatters,true,false,true,false,false,false,false,false,false,false
1367,Capsized,false,false,true,true,false,false,false,false,false,false
1368,ibb & obb,true,false,false,true,true,false,false,false,false,false
1369,The Cat and the Coup,false,true,true,false,false,false,false,false,false,false
1370,Air Conflicts - Secret Wars,false,false,true,true,false,false,false,false,false,false
1371,The Tiny Bang Story,false,false,true,false,false,false,false,false,false,false
1372,Defy Gravity,true,false,true,false,false,false,false,false,false,false
1373,Steel Storm: Burning Retribution,false,false,true,true,true,false,false,false,true,false
1374,Shoot Many Robots,false,false,true,false,true,false,false,false,false,false
1375,Nexuiz,false,false,true,true,false,false,false,false,true,false
1376,Slam Bolt Scrappers,true,false,true,true,false,false,false,false,false,false
1377,Solar 2,false,false,true,false,false,false,false,false,false,false
1378,Section 8: Prejudice,false,false,true,false,false,false,false,false,false,false
1379,Kohan: Immortal Sovereigns,false,false,true,true,true,false,false,false,false,false
1380,Kohan: Ahriman's Gift,false,false,true,true,true,false,false,false,false,false
1381,Kohan II: Kings of War,false,false,true,true,true,false,false,false,false,false
1382,Magic: The Gathering - Duels of the Planeswalkers 2013,true,false,true,true,true,false,false,false,false,false
1383,TRAUMA,false,false,true,false,false,false,false,false,false,false
1384,Frozen Synapse,false,false,true,true,false,false,false,false,false,false
1385,Toy Soldiers,false,false,true,false,false,false,false,false,false,false
1386,Hard Reset,false,false,true,false,false,false,false,false,false,false
1387,Naval Warfare,false,false,true,true,false,false,false,false,false,false
1388,"Demolition, Inc.",true,false,true,false,false,false,false,false,true,false
1389,Dungeons of Dredmor,false,false,true,false,false,false,false,false,false,false
1390,Alien Hallway,false,false,true,false,false,false,false,false,false,false
1391,Dungeons & Dragons: Daggerdale,false,false,true,true,true,false,false,false,false,false
1392,Yar's Revenge,false,false,true,true,false,false,false,false,false,false
1393,YOU DON'T KNOW JACK,false,false,true,true,false,false,false,false,false,false
1394,Renegade Ops,true,false,true,true,true,false,false,false,false,false
1395,Garshasp: The Monster Slayer,false,false,true,false,false,false,false,false,false,false
1396,Garshasp: Temple of the Dragon,false,false,true,false,false,false,false,false,false,false
1397,NightSky,false,false,true,false,false,false,false,false,false,false
1398,Bulletstorm,false,false,true,false,true,false,false,false,false,false
1399,Crysis 2,false,false,true,false,false,false,false,false,false,false
1400,Spiral Knights,false,true,true,true,true,true,false,false,false,false
1401,Puzzle Pirates,false,true,true,true,true,true,false,false,false,false
1402,Silo 2,false,false,false,false,false,false,false,false,false,false
1403,CameraBag 2,false,false,false,false,false,false,false,false,false,false
1404,3d-coat,false,false,false,false,false,false,false,false,false,false
1405,Runespell: Overture,false,false,true,false,false,false,false,false,false,false
1406,Vertex Dispenser,false,false,true,true,true,false,false,false,false,false
1407,Kingdoms of Amalur: Reckoning™,false,false,true,false,false,false,false,false,false,false
1408,Orcs Must Die!,false,false,true,false,false,false,false,false,false,false
1409,A.V.A - Alliance of Valiant Arms,false,false,false,true,true,false,false,false,false,false
1410,Gatling Gears,false,false,true,true,true,false,false,false,false,false
1411,Shank 2,true,false,true,false,true,false,false,false,false,false
1412,WARP,false,false,true,false,false,false,false,false,false,false
1413,iBomber Defense,false,false,true,false,false,false,false,false,false,false
1414,Storm in a Teacup,false,false,true,false,false,false,false,false,false,false
1415,Inside a Star-filled Sky,false,false,true,false,false,false,false,false,false,false
1416,BEEP,false,false,true,false,false,false,false,false,false,false
1417,Portal 2 - The Final Hours,false,false,true,false,false,false,false,false,false,false
1418,Super Monday Night Combat,false,true,false,true,false,false,false,false,false,false
1419,ORION: Prelude,false,true,true,true,true,false,false,false,true,false
1420,A New Beginning - Final Cut,false,false,true,false,false,false,false,false,false,false
1421,Lume,false,false,true,false,false,false,false,false,false,false
1422,Critical Mass,false,false,true,false,false,false,false,false,false,false
1423,Ms. Splosion Man,true,false,true,true,true,false,false,false,false,false
1424,Age of Empires® III: Complete Collection,false,false,true,true,false,false,false,false,false,false
1425,Terraria,true,false,true,true,true,false,false,false,false,false
